评估参数	术语	术语说明
代表性指标	Number of Spots Under Tissue	Space Ranger检测到的位于组织成像区域的高质量Spots数目
 	Mean Reads  per Spot	每个Spot中的平均测序片段数
 	Median Genes per Spot	每个Spot中检测到的基因数中位值，UMI数大于0被定义为检测到的基因
测序质量	Number of reads	原始下机数据的序列数
 	Valid Barcodes	有效Spot Barcode序列数百分比
 	Valid UMIs	有效Spot UMI数百分比
 	Sequencing Saturation	测序饱和度
 	Q30 Bases in Barcode	测得的Spot Barcode序列质量大于Q30的序列数百分比
 	Q30 Bases in RNA Read	测得的R2 reads中质量大于Q30的序列百分比
 	Q30 Bases in UMI	测得的UMI序列中序列质量大于Q30的序列百分比
Spots质量	Fraction Reads in Spots Under Tissue	位于组织成像区域的Spots中Reads数百分比
 	Mean Reads per Spot	每个高质量Spot的平均序列数
 	Median Genes per Spot	每个高质量Spot的基因数中值
 	Total Genes Detected	所有Spots检测到的基因总数
 	Median UMI Counts per Spot	每个高质量Spot的平均UMI数
比对质量	Reads Mapped to Genome	比对到基因组上的序列百分比
 	Reads Mapped Confidently to Genome	高置信度比对到的基因组上的序列百分比
 	Reads Mapped Confidently to Intergenic Regions	比对到参考基因组的基因间隔区域的序列数百分比
 	Reads Mapped Confidently to Intronic Regions	比对到参考基因组的内含子区域的序列数百分比
 	Reads Mapped Confidently to exonic Regions	比对到基因组外显子区域的序列数百分比
 	Reads Mapped Confidently to Transcriptome	比对到转录组上唯一的基因区域的序列数百分比
 	Reads Mapped Antisense to Gene	比对到转录组上基因的antisense区域的序列数百分比
